"Month","Sales"
"2011-01",2815
"2011-02",2672
"2011-03",2755
"2011-04",2721
"2011-05",2946
"2011-06",3036
"2011-07",2282
"2011-08",2212
"2011-09",2922
"2011-10",4301
"2011-11",5764
"2011-12",7312
"2012-01",2541
"2012-02",2475
"2012-03",3031
"2012-04",3266
"2012-05",3776
"2012-06",3230
"2012-07",3028
"2012-08",1759
"2012-09",3595
"2012-10",4474
"2012-11",6838
"2012-12",8357
"2013-01",3113
"2013-02",3006
"2013-03",4047
"2013-04",3523
"2013-05",3937
"2013-06",3986
"2013-07",3260
"2013-08",1573
"2013-09",3528
"2013-10",5211
"2013-11",7614
"2013-12",9254
"2014-01",5375
"2014-02",3088
"2014-03",3718
"2014-04",4514
"2014-05",4520
"2014-06",4539
"2014-07",3663
"2014-08",1643
"2014-09",4739
"2014-10",5428
"2014-11",8314
"2014-12",10651
"2015-01",3633
"2015-02",4292
"2015-03",4154
"2015-04",4121
"2015-05",4647
"2015-06",4753
"2015-07",3965
"2015-08",1723
"2015-09",5048
"2015-10",6922
"2015-11",9858
"2015-12",11331
"2016-01",4016
"2016-02",3957
"2016-03",4510
"2016-04",4276
"2016-05",4968
"2016-06",4677
"2016-07",3523
"2016-08",1821
"2016-09",5222
"2016-10",6872
"2016-11",10803
"2016-12",13916
"2017-01",2639
"2017-02",2899
"2017-03",3370
"2017-04",3740
"2017-05",2927
"2017-06",3986
"2017-07",4217
"2017-08",1738
"2017-09",5221
"2017-10",6424
"2017-11",9842
"2017-12",13076
"2018-01",3934
"2018-02",3162
"2018-03",4286
"2018-04",4676
"2018-05",5010
"2018-06",4874
"2018-07",4633
"2018-08",1659
"2018-09",5951
"2018-10",6981
"2018-11",9851
"2018-12",12670
"2019-01",4348
"2019-02",3564
"2019-03",4577
"2019-04",4788
"2019-05",4618
"2019-06",5312
"2019-07",4298
"2019-08",1413
